definition1,sensekey1,relation,sensekey2,definition2
work in an administrative capacity; supervise or be in charge of,administer%2:41:00::,agent,administration%1:14:00::,the persons (or committees or departments etc.) who make up a body for the purpose of administering something
work in an administrative capacity; supervise or be in charge of,administrate%2:41:00::,agent,administrator%1:18:00::,someone who administers a business
work in an administrative capacity; supervise or be in charge of,administrate%2:41:00::,agent,administrator%1:18:01::,the party appointed by a probate court to distribute the estate of someone who dies without a will or without naming an executor
work in an administrative capacity; supervise or be in charge of,administrate%2:41:00::,agent,administrator%1:18:02::,someone who manages a government agency or department
feel admiration for,admire%2:37:00::,state,admiration%1:12:01::,a feeling of delighted approval and liking
feel admiration for,admire%2:37:00::,agent,admirer%1:18:00::,someone who admires a young woman
feel admiration for,admire%2:37:00::,agent,admirer%1:18:01::,a person who backs a politician or a team etc.
feel admiration for,admire%2:37:00::,agent,admirer%1:18:02::,a person who admires; someone who esteems or respects or approves
look at with admiration,admire%2:39:00::,agent,admirer%1:18:00::,someone who admires a young woman
look at with admiration,admire%2:39:00::,agent,admirer%1:18:02::,a person who admires; someone who esteems or respects or approves
declare to be true or admit the existence or reality or truth of,admit%2:32:00::,event,admission%1:10:00::,an acknowledgment of the truth of something
"allow participation in or the right to be part of; permit to exercise the rights, functions, and responsibilities of",admit%2:41:00::,uses,admittance%1:07:00::,the right to enter
allow to enter; grant entry to,admit%2:41:01::,event,admission%1:04:00::,the act of admitting someone to enter
allow to enter; grant entry to,admit%2:41:01::,by means of,admission%1:21:00::,the fee charged for admission
serve as a means of entrance,admit%2:42:03::,by means of,admission%1:21:00::,the fee charged for admission
take to task,admonish%2:32:00::,event,admonishment%1:10:00::,a firm rebuke
take to task,admonish%2:32:00::,event,admonition%1:10:00::,a firm rebuke
warn strongly; put on guard,admonish%2:32:01::,agent,admonisher%1:18:00::,someone who gives a warning so that a mistake can be avoided
warn strongly; put on guard,admonish%2:32:01::,event,admonition%1:10:01::,cautionary advice about something imminent (especially imminent danger or other unpleasantness)
advise or counsel in terms of someone's behavior,admonish%2:32:02::,agent,admonisher%1:18:00::,someone who gives a warning so that a mistake can be avoided
advise or counsel in terms of someone's behavior,admonish%2:32:02::,event,admonition%1:10:01::,cautionary advice about something imminent (especially imminent danger or other unpleasantness)
become adolescent; pass through adolescence,adolesce%2:30:00::,event,adolescence%1:26:00::,in the state that someone is in between puberty and adulthood
become adolescent; pass through adolescence,adolesce%2:30:00::,event,adolescence%1:28:00::,the time period between the beginning of puberty and adulthood
take into one's family,adopt%2:30:00::,undergoer,adoptee%1:18:00::,someone (such as a child) who has been adopted
take into one's family,adopt%2:30:00::,agent,adopter%1:18:00::,a person who adopts a child of other parents as his or her own child
take into one's family,adopt%2:30:00::,event,adoption%1:04:02::,a legal proceeding that creates a parent-child relation between persons not related by blood; the adopted child is entitled to all privileges belonging to a natural child of the adoptive parents (including the right to inherit)
"take up the cause, ideology, practice, method, of someone and use it as one's own",adopt%2:31:04::,event,adoption%1:04:01::,the appropriation (of ideas or words etc) from another source
take up and practice as one's own,adopt%2:40:00::,event,adoption%1:04:01::,the appropriation (of ideas or words etc) from another source
"choose and follow; as of theories, ideas, policies, strategies or plans",adopt%2:40:02::,event,adoption%1:04:00::,the act of accepting with approval; favorable reception
"make more attractive by adding ornament, colour, etc.",adorn%2:36:00::,event,adornment%1:04:00::,the action of decorating yourself with something colorful and interesting
be beautiful to look at,adorn%2:42:00::,by means of,adornment%1:06:00::,a decoration of color or interest that is added to relieve plainness
accumulate (liquids or gases) on the surface,adsorb%2:35:00::,event,adsorption%1:22:00::,the accumulation of molecules of a gas to form a thin film on the surface of a solid
flatter in an obsequious manner,adulate%2:32:00::,agent,adulator%1:18:00::,a person who uses flattery
"corrupt, debase, or make impure by adding a foreign or inferior substance; often by replacing valuable ingredients with inferior ones",adulterate%2:30:00::,agent,adulterator%1:18:00::,a changer who lessens the purity or effectiveness of a substance
"corrupt, debase, or make impure by adding a foreign or inferior substance; often by replacing valuable ingredients with inferior ones",adulterate%2:30:00::,agent,adulterator%1:27:00::,any substance that lessens the purity or effectiveness of a substance
develop in a positive way,advance%2:30:00::,event,advance%1:04:00::,the act of moving forward (as toward a goal)
develop in a positive way,advance%2:30:00::,event,advance%1:11:01::,a change for the better; progress in development
rise in rate or price,advance%2:30:01::,event,advance%1:04:01::,increase in price or value
develop further,advance%2:30:09::,event,advancement%1:04:01::,the act of moving forward (as toward a goal)
develop further,advance%2:30:09::,event,advancement%1:04:02::,gradual improvement or growth or development
"move forward, also in the metaphorical sense",advance%2:38:00::,event,advance%1:04:00::,the act of moving forward (as toward a goal)
"move forward, also in the metaphorical sense",advance%2:38:00::,event,advance%1:11:00::,a movement forward
"move forward, also in the metaphorical sense",advance%2:38:00::,event,advancement%1:04:01::,the act of moving forward (as toward a goal)
"move forward, also in the metaphorical sense",advance%2:38:00::,agent,advancer%1:18:00::,someone who advances
cause to move forward,advance%2:38:01::,event,advancement%1:04:01::,the act of moving forward (as toward a goal)
pay in advance,advance%2:40:00::,undergoer,advance%1:21:00::,an amount paid before it is earned
give a promotion to or assign to a higher position,advance%2:41:00::,event,advancement%1:10:00::,encouragement of the progress or growth or acceptance of something
contribute to the progress or growth of,advance%2:41:01::,event,advance%1:11:01::,a change for the better; progress in development
give an advantage to,advantage%2:41:00::,property,advantage%1:07:00::,the quality of having a superior or more favorable position
give an advantage to,advantage%2:41:00::,result,advantage%1:07:01::,benefit resulting from some event or action
convey by horizontal mass movement of a fluid,advect%2:38:00::,event,advection%1:22:00::,(meteorology) the horizontal transfer of heat or other atmospheric properties
put at risk,adventure%2:41:00::,event,adventure%1:04:00::,a wild and exciting undertaking (not necessarily lawful)
put at risk,adventure%2:41:00::,agent,adventurer%1:18:00::,a person who enjoys taking risks
take a risk in the hope of a favorable outcome,adventure%2:41:01::,event,adventure%1:04:00::,a wild and exciting undertaking (not necessarily lawful)
take a risk in the hope of a favorable outcome,adventure%2:41:01::,agent,adventurer%1:18:00::,a person who enjoys taking risks
give heed (to),advert%2:39:00::,event,advertence%1:09:00::,the process of being heedful
make publicity for; try to sell (a product),advertise%2:32:00::,event,advertisement%1:10:00::,a public promotion of some product or service
make publicity for; try to sell (a product),advertise%2:32:00::,agent,advertiser%1:18:00::,someone whose business is advertising
make publicity for; try to sell (a product),advertize%2:32:00::,event,advertizement%1:10:00::,a public promotion of some product or service
make publicity for; try to sell (a product),advertize%2:32:00::,agent,advertizer%1:18:00::,someone whose business is advertising
give advice to,advise%2:32:00::,undergoer,advisee%1:18:00::,someone who receives advice
